n_batch:1045,phase:    train,avg_loss:4.206e-01, avg_error_rate:8.486e+01
n_batch:1050,phase:    train,avg_loss:4.203e-01, avg_error_rate:8.487e+01
n_batch:1055,phase:    train,avg_loss:4.201e-01, avg_error_rate:8.487e+01
n_batch:1060,phase:    train,avg_loss:4.199e-01, avg_error_rate:8.487e+01
n_batch:1065,phase:    train,avg_loss:4.197e-01, avg_error_rate:8.488e+01
n_batch:1070,phase:    train,avg_loss:4.194e-01, avg_error_rate:8.488e+01
n_batch:1075,phase:    train,avg_loss:4.192e-01, avg_error_rate:8.489e+01
n_batch:1080,phase:    train,avg_loss:4.190e-01, avg_error_rate:8.489e+01
n_batch:1085,phase:    train,avg_loss:4.188e-01, avg_error_rate:8.489e+01
n_batch:1090,phase:    train,avg_loss:4.186e-01, avg_error_rate:8.490e+01
n_batch:1095,phase:    train,avg_loss:4.185e-01, avg_error_rate:8.490e+01
n_batch:1100,phase:    train,avg_loss:4.183e-01, avg_error_rate:8.491e+01
n_batch:1105,phase:    train,avg_loss:4.181e-01, avg_error_rate:8.491e+01
n_batch:1110,phase:    train,avg_loss:4.179e-01, avg_error_rate:8.492e+01
n_batch:1115,phase:    train,avg_loss:4.177e-01, avg_error_rate:8.492e+01
n_batch:1120,phase:    train,avg_loss:4.176e-01, avg_error_rate:8.492e+01
n_batch:1125,phase:    train,avg_loss:4.174e-01, avg_error_rate:8.493e+01
n_batch:1130,phase:    train,avg_loss:4.172e-01, avg_error_rate:8.493e+01
n_batch:1135,phase:    train,avg_loss:4.170e-01, avg_error_rate:8.493e+01
n_batch:1140,phase:    train,avg_loss:4.168e-01, avg_error_rate:8.494e+01
n_batch:1145,phase:    train,avg_loss:4.166e-01, avg_error_rate:8.494e+01
n_batch:1150,phase:    train,avg_loss:4.164e-01, avg_error_rate:8.495e+01
n_batch:1155,phase:    train,avg_loss:4.162e-01, avg_error_rate:8.496e+01
n_batch:1160,phase:    train,avg_loss:4.161e-01, avg_error_rate:8.497e+01
n_batch:1165,phase:    train,avg_loss:4.159e-01, avg_error_rate:8.497e+01
n_batch:1170,phase:    train,avg_loss:4.157e-01, avg_error_rate:8.497e+01
n_batch:1175,phase:    train,avg_loss:4.155e-01, avg_error_rate:8.497e+01
n_batch:1180,phase:    train,avg_loss:4.153e-01, avg_error_rate:8.497e+01
n_batch:1185,phase:    train,avg_loss:4.152e-01, avg_error_rate:8.497e+01
n_batch:1190,phase:    train,avg_loss:4.150e-01, avg_error_rate:8.497e+01
n_batch:1195,phase:    train,avg_loss:4.148e-01, avg_error_rate:8.497e+01
n_batch:1200,phase:    train,avg_loss:4.147e-01, avg_error_rate:8.498e+01
n_batch:1205,phase:    train,avg_loss:4.145e-01, avg_error_rate:8.498e+01
n_batch:1210,phase:    train,avg_loss:4.144e-01, avg_error_rate:8.499e+01
n_batch:1215,phase:    train,avg_loss:4.143e-01, avg_error_rate:8.499e+01
n_batch:1220,phase:    train,avg_loss:4.141e-01, avg_error_rate:8.499e+01
n_batch:1225,phase:    train,avg_loss:4.140e-01, avg_error_rate:8.499e+01
n_batch:1230,phase:    train,avg_loss:4.138e-01, avg_error_rate:8.499e+01
n_batch:1235,phase:    train,avg_loss:4.136e-01, avg_error_rate:8.499e+01
n_batch:1240,phase:    train,avg_loss:4.135e-01, avg_error_rate:8.499e+01
n_batch:1245,phase:    train,avg_loss:4.133e-01, avg_error_rate:8.499e+01
n_batch:1250,phase:    train,avg_loss:4.131e-01, avg_error_rate:8.499e+01
n_batch:1255,phase:    train,avg_loss:4.129e-01, avg_error_rate:8.499e+01
n_batch:1260,phase:    train,avg_loss:4.128e-01, avg_error_rate:8.500e+01
n_batch:1265,phase:    train,avg_loss:4.126e-01, avg_error_rate:8.500e+01
n_batch:1270,phase:    train,avg_loss:4.125e-01, avg_error_rate:8.500e+01
n_batch:1275,phase:    train,avg_loss:4.123e-01, avg_error_rate:8.500e+01
n_batch:1280,phase:    train,avg_loss:4.120e-01, avg_error_rate:8.500e+01
n_batch:1285,phase:    train,avg_loss:4.119e-01, avg_error_rate:8.500e+01
n_batch:1290,phase:    train,avg_loss:4.117e-01, avg_error_rate:8.500e+01
n_batch:1295,phase:    train,avg_loss:4.116e-01, avg_error_rate:8.500e+01
n_batch:1300,phase:    train,avg_loss:4.114e-01, avg_error_rate:8.499e+01
n_batch:1305,phase:    train,avg_loss:4.112e-01, avg_error_rate:8.499e+01
n_batch:1310,phase:    train,avg_loss:4.110e-01, avg_error_rate:8.499e+01
n_batch:1315,phase:    train,avg_loss:4.109e-01, avg_error_rate:8.499e+01
n_batch:1320,phase:    train,avg_loss:4.107e-01, avg_error_rate:8.499e+01
n_batch:1325,phase:    train,avg_loss:4.106e-01, avg_error_rate:8.499e+01
n_batch:1330,phase:    train,avg_loss:4.104e-01, avg_error_rate:8.499e+01
n_batch:1335,phase:    train,avg_loss:4.103e-01, avg_error_rate:8.499e+01
n_batch:1340,phase:    train,avg_loss:4.101e-01, avg_error_rate:8.498e+01
n_batch:1345,phase:    train,avg_loss:4.100e-01, avg_error_rate:8.498e+01
n_batch:1350,phase:    train,avg_loss:4.098e-01, avg_error_rate:8.497e+01
n_batch:1355,phase:    train,avg_loss:4.096e-01, avg_error_rate:8.496e+01
n_batch:1360,phase:    train,avg_loss:4.095e-01, avg_error_rate:8.497e+01
n_batch:1365,phase:    train,avg_loss:4.094e-01, avg_error_rate:8.496e+01
n_batch:1370,phase:    train,avg_loss:4.092e-01, avg_error_rate:8.497e+01
n_batch:1375,phase:    train,avg_loss:4.091e-01, avg_error_rate:8.497e+01
n_batch:1380,phase:    train,avg_loss:4.090e-01, avg_error_rate:8.497e+01
n_batch:1385,phase:    train,avg_loss:4.088e-01, avg_error_rate:8.497e+01
n_batch:1390,phase:    train,avg_loss:4.087e-01, avg_error_rate:8.497e+01
n_batch:1395,phase:    train,avg_loss:4.085e-01, avg_error_rate:8.497e+01
n_batch:1400,phase:    train,avg_loss:4.084e-01, avg_error_rate:8.497e+01
n_batch:1405,phase:    train,avg_loss:4.082e-01, avg_error_rate:8.497e+01
n_batch:1410,phase:    train,avg_loss:4.081e-01, avg_error_rate:8.497e+01
n_batch:1415,phase:    train,avg_loss:4.080e-01, avg_error_rate:8.497e+01
n_batch:1420,phase:    train,avg_loss:4.078e-01, avg_error_rate:8.497e+01
n_batch:1425,phase:    train,avg_loss:4.077e-01, avg_error_rate:8.497e+01
n_batch:1430,phase:    train,avg_loss:4.076e-01, avg_error_rate:8.497e+01
n_batch:1435,phase:    train,avg_loss:4.075e-01, avg_error_rate:8.497e+01
n_batch:1440,phase:    train,avg_loss:4.074e-01, avg_error_rate:8.498e+01
n_batch:1445,phase:    train,avg_loss:4.072e-01, avg_error_rate:8.498e+01
n_batch:1450,phase:    train,avg_loss:4.071e-01, avg_error_rate:8.498e+01
n_batch:1455,phase:    train,avg_loss:4.069e-01, avg_error_rate:8.498e+01
n_batch:1460,phase:    train,avg_loss:4.068e-01, avg_error_rate:8.498e+01
n_batch:1465,phase:    train,avg_loss:4.067e-01, avg_error_rate:8.499e+01
n_batch:1470,phase:    train,avg_loss:4.065e-01, avg_error_rate:8.498e+01
n_batch:1475,phase:    train,avg_loss:4.064e-01, avg_error_rate:8.498e+01
